qubits,ideal,noisy
4,"[0.0001,0.0001,0.0001,0.0001,0.8105,0.1005,0.3905,0.1548]","[0.0001,0.0001,0.0001,0.0001,0.7871,0.1094,0.3916,0.1553]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5763,0.625,0.4753,0.3805]","[0.0001,0.0001,0.0001,0.0001,0.4814,0.6328,0.4834,0.4902]"
4,"[0.0001,0.0001,0.0001,0.0001,0.48,0.567,0.6162,0.6012]","[0.0001,0.0001,0.0001,0.0001,0.4941,0.3389,0.5049,0.5137]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5002,0.4995,0.69,0.491]","[0.0001,0.0001,0.0001,0.0001,0.4883,0.4678,0.4971,0.5303]"
4,"[0.0001,0.0001,0.0001,0.0001,0.517,0.2445,0.822,0.6618]","[0.0001,0.0001,0.0001,0.0001,0.4736,0.5479,0.5078,0.4834]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4633,0.7372,0.8497,0.4252]","[0.0001,0.0001,0.0001,0.0001,0.4971,0.4961,0.5029,0.5156]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6737,0.4803,0.2345,0.5715]","[0.0001,0.0001,0.0001,0.0001,0.4678,0.4951,0.5029,0.5312]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4672,0.4773,0.6215,0.568]","[0.0001,0.0001,0.0001,0.0001,0.5098,0.5957,0.4277,0.4883]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7155,0.385,0.6492,0.3607]","[0.0001,0.0001,0.0001,0.0001,0.4844,0.5215,0.5137,0.4824]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6668,0.371,0.6908,0.6447]","[0.0001,0.0001,0.0001,0.0001,0.4736,0.4824,0.4746,0.501]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2755,0.66,0.6503,0.6062]","[0.0001,0.0001,0.0001,0.0001,0.5254,0.5176,0.4932,0.6221]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4215,0.4148,0.5113,0.2482]","[0.0001,0.0001,0.0001,0.0001,0.4932,0.5479,0.501,0.5039]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5082,1.,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.4951,0.3545,0.4961,0.5322]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7565,0.562,0.4825,0.226]","[0.0001,0.0001,0.0001,0.0001,0.5,0.5049,0.5215,0.4688]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4638,0.2288,0.507,0.3557]","[0.0001,0.0001,0.0001,0.0001,0.4932,0.3926,0.5,0.5059]"
4,"[0.0001,0.0001,0.0001,0.0001,0.121,0.0862,0.4958,0.193]","[0.0001,0.0001,0.0001,0.0001,0.5049,0.5029,0.4639,0.4961]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3058,0.8752,0.8965,0.1248]","[0.0001,0.0001,0.0001,0.0001,0.3145,0.8672,0.8906,0.1328]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2975,0.6125,0.987,0.7573]","[0.0001,0.0001,0.0001,0.0001,0.4961,0.3594,0.9580,0.7197]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6112,0.5617,0.648,0.5947]","[0.0001,0.0001,0.0001,0.0001,0.4854,0.5439,0.4922,0.5322]"
