qubits,ideal,noisy
4,"[0.0001,0.0001,0.0001,0.0001,0.5673,0.6455,0.486,0.455]","[0.0001,0.0001,0.0001,0.0001,0.4922,0.4463,0.5205,0.4336]"
4,"[0.0001,0.0001,0.0001,0.0001,0.235,0.264,0.1388,0.2442]","[0.0001,0.0001,0.0001,0.0001,0.2490,0.3428,0.125,0.502]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6365,0.454,0.6798,0.6762]","[0.0001,0.0001,0.0001,0.0001,0.5137,0.3242,0.4980,0.4980]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5545,0.5205,0.375,0.362]","[0.0001,0.0001,0.0001,0.0001,0.4785,0.5107,0.5244,0.3516]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5905,0.4288,0.4285,0.2873]","[0.0001,0.0001,0.0001,0.0001,0.4912,0.3486,0.4736,0.4707]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4457,0.6795,0.664,0.27]","[0.0001,0.0001,0.0001,0.0001,0.5176,0.3740,0.4805,0.5312]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5035,0.8953,0.2027,0.3478]","[0.0001,0.0001,0.0001,0.0001,0.4951,0.3496,0.4941,0.543]"
4,"[0.0001,0.0001,0.0001,0.0001,0.441,0.6675,0.5785,0.5608]","[0.0001,0.0001,0.0001,0.0001,0.4980,0.3975,0.5059,0.502]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5073,0.4658,0.4918,0.4958]","[0.0001,0.0001,0.0001,0.0001,0.5098,0.5391,0.5059,0.5205]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.9555,0.498,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.4795,0.4912,0.5,0.0107]"
4,"[0.0001,0.0001,0.0001,0.0001,0.217,0.627,0.437,0.6722]","[0.0001,0.0001,0.0001,0.0001,0.4570,0.4854,0.4951,0.5342]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5303,0.5422,0.4958,0.4692]","[0.0001,0.0001,0.0001,0.0001,0.4854,0.3555,0.5215,0.4941]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4272,0.5585,0.4835,0.6463]","[0.0001,0.0001,0.0001,0.0001,0.5,0.4883,0.4775,0.4932]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6382,0.532,0.3543,0.637]","[0.0001,0.0001,0.0001,0.0001,0.4727,0.459,0.4717,0.5312]"
4,"[0.0001,0.0001,0.0001,0.0001,0.8415,0.609,0.5872,0.5885]","[0.0001,0.0001,0.0001,0.0001,0.5098,0.3701,0.4912,0.4863]"
4,"[0.0001,0.0001,0.0001,0.0001,0.8407,0.6737,0.3435,0.5723]","[0.0001,0.0001,0.0001,0.0001,0.4980,0.3486,0.4844,0.5039]"
4,"[0.0001,0.0001,0.0001,0.0001,0.8825,0.2327,0.4708,0.6553]","[0.0001,0.0001,0.0001,0.0001,0.5293,0.5127,0.5039,0.5127]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.1505,0.4985,0.5835]","[0.0001,0.0001,0.0001,0.0001,0.5205,0.4062,0.6533,0.5762]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4958,0.4925,0.4955,0.583]","[0.0001,0.0001,0.0001,0.0001,0.4941,0.3535,0.4717,0.5957]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3665,0.2578,0.2885,0.8677]","[0.0001,0.0001,0.0001,0.0001,0.501,0.4844,0.4932,0.5684]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6225,0.2998,0.1795,0.5928]","[0.0001,0.0001,0.0001,0.0001,0.4961,0.3262,0.5234,0.5078]"
4,"[0.0001,0.0001,0.0001,0.0001,0.395,0.3968,0.4182,0.4185]","[0.0001,0.0001,0.0001,0.0001,0.4785,0.5059,0.4951,0.5244]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5945,0.5397,0.445,0.3803]","[0.0001,0.0001,0.0001,0.0001,0.4463,0.502,0.4893,0.5938]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4678,0.2903,0.473,0.6365]","[0.0001,0.0001,0.0001,0.0001,0.5049,0.3203,0.5039,0.4746]"
4,"[0.0001,0.0001,0.0001,0.0001,0.385,0.3492,0.6505,0.5042]","[0.0001,0.0001,0.0001,0.0001,0.4971,0.3320,0.4844,0.5039]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5027,0.4013,0.6087,0.4215]","[0.0001,0.0001,0.0001,0.0001,0.4971,0.3359,0.5068,0.5195]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0835,0.4302,0.3187,0.653]","[0.0001,0.0001,0.0001,0.0001,0.5186,0.4834,0.4941,0.4756]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,1.,0.042,0.235]","[0.0001,0.0001,0.0001,0.0001,0.5059,0.3281,0.4834,0.2354]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2265,0.3805,0.2272,0.3173]","[0.0001,0.0001,0.0001,0.0001,0.4951,0.5498,0.5098,0.2393]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4305,0.6712,0.4848,0.7355]","[0.0001,0.0001,0.0001,0.0001,0.4785,0.5381,0.4775,0.4990]"
4,"[0.0001,0.0001,0.0001,0.0001,0.396,0.4905,0.466,0.3747]","[0.0001,0.0001,0.0001,0.0001,0.4814,0.3643,0.501,0.4854]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7362,0.5077,0.399,0.649]","[0.0001,0.0001,0.0001,0.0001,0.4834,0.5312,0.5156,0.5449]"
4,"[0.0001,0.0001,0.0001,0.0001,0.416,0.4535,0.5002,0.7092]","[0.0001,0.0001,0.0001,0.0001,0.5146,0.501,0.4834,0.5273]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4162,0.5468,0.4983,0.466]","[0.0001,0.0001,0.0001,0.0001,0.5107,0.5059,0.5039,0.3555]"
4,"[0.0001,0.0001,0.0001,0.0001,0.351,0.5297,0.345,0.5587]","[0.0001,0.0001,0.0001,0.0001,0.5098,0.3535,0.4912,0.5908]"
4,"[0.0001,0.0001,0.0001,0.0001,0.9737,0.9718,0.4978,0.3873]","[0.0001,0.0001,0.0001,0.0001,0.502,0.3525,0.5059,0.5889]"
4,"[0.0001,0.0001,0.0001,0.0001,0.495,0.622,0.3915,0.4942]","[0.0001,0.0001,0.0001,0.0001,0.4951,0.3428,0.5078,0.6133]"
4,"[0.0001,0.0001,0.0001,0.0001,0.81,0.22,0.4535,1.]","[0.0001,0.0001,0.0001,0.0001,0.501,0.5264,0.5371,0.9766]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.5033,0.913]","[0.0001,0.0001,0.0001,0.0001,0.4902,0.3525,0.4961,0.917]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4733,0.4425,0.4958,0.7395]","[0.0001,0.0001,0.0001,0.0001,0.5205,0.418,0.5078,0.5176]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6022,0.333,0.3725,0.7865]","[0.0001,0.0001,0.0001,0.0001,0.5039,0.3477,0.501,0.5137]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3747,0.4997,0.513,0.4115]","[0.0001,0.0001,0.0001,0.0001,0.5078,0.3691,0.5117,0.5078]"
4,"[0.0001,0.0001,0.0001,0.0001,0.9103,1.,0.2882,0.585]","[0.0001,0.0001,0.0001,0.0001,0.4961,0.3545,0.5078,0.5615]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3415,0.6568,0.5723,0.4518]","[0.0001,0.0001,0.0001,0.0001,0.4990,0.3389,0.4844,0.4375]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4965,0.472,0.1287,1.]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.3291,0.1494,0.9824]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7347,0.2643,0.497,0.5155]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.3271,0.4717,0.5146]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4837,0.3465,0.5577,0.5775]","[0.0001,0.0001,0.0001,0.0001,0.5049,0.3525,0.5137,0.5127]"
4,"[0.0001,0.0001,0.0001,0.0001,0.1957,0.4947,0.1125,0.6087]","[0.0001,0.0001,0.0001,0.0001,0.2148,0.4912,0.1172,0.6240]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3545,0.3277,0.1217,0.166]","[0.0001,0.0001,0.0001,0.0001,0.5225,0.3447,0.4785,0.4717]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3915,0.5502,0.4767,0.6765]","[0.0001,0.0001,0.0001,0.0001,0.5283,0.543,0.5,0.5098]"
4,"[0.0001,0.0001,0.0001,0.0001,0.001,0.483,0.6378,0.7025]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.5176,0.6123,0.6924]"
4,"[0.0001,0.0001,0.0001,0.0001,0.305,0.6022,0.534,0.3512]","[0.0001,0.0001,0.0001,0.0001,0.4961,0.5059,0.5166,0.5332]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5098,0.3923,0.4985,0.4042]","[0.0001,0.0001,0.0001,0.0001,0.5146,0.3076,0.5,0.4551]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2905,0.531,0.1745,0.3525]","[0.0001,0.0001,0.0001,0.0001,0.5117,0.5088,0.5059,0.4541]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4955,0.6305,0.425,0.6267]","[0.0001,0.0001,0.0001,0.0001,0.4990,0.3076,0.4971,0.4951]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6168,0.4972,0.2457,0.0043]","[0.0001,0.0001,0.0001,0.0001,0.6104,0.5322,0.5049,0.0117]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6323,0.0001,0.5067,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.6191,0.0205,0.5195,0.0059]"
4,"[0.0001,0.0001,0.0001,0.0001,0.491,0.3022,0.962,0.543]","[0.0001,0.0001,0.0001,0.0001,0.5068,0.5146,0.4863,0.543]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3842,0.3553,0.613,0.4198]","[0.0001,0.0001,0.0001,0.0001,0.5391,0.4551,0.543,0.4863]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.6395,0.0335,0.3605]","[0.0001,0.0001,0.0001,0.0001,0.0371,0.6523,0.0439,0.3467]"
4,"[0.0001,0.0001,0.0001,0.0001,0.37,0.5773,0.4392,0.548]","[0.0001,0.0001,0.0001,0.0001,0.4922,0.3389,0.4512,0.5205]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.1975,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.0352,0.1924,0.0146,0.0049]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4585,0.3033,0.226,0.044]","[0.0001,0.0001,0.0001,0.0001,0.4980,0.5508,0.4580,0.502]"
4,"[0.0001,0.0001,0.0001,0.0001,0.31,0.6768,0.538,0.6587]","[0.0001,0.0001,0.0001,0.0001,0.501,0.6357,0.4863,0.5029]"
4,"[0.0001,0.0001,0.0001,0.0001,0.45,0.3985,0.5888,0.5515]","[0.0001,0.0001,0.0001,0.0001,0.4893,0.4795,0.5059,0.4961]"
4,"[0.0001,0.0001,0.0001,0.0001,0.497,0.4958,0.5213,0.522]","[0.0001,0.0001,0.0001,0.0001,0.4971,0.5225,0.5117,0.5059]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5387,0.5148,0.4518,0.3075]","[0.0001,0.0001,0.0001,0.0001,0.4902,0.543,0.5059,0.3193]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4712,0.5975,0.748,0.444]","[0.0001,0.0001,0.0001,0.0001,0.5166,0.4941,0.5186,0.4766]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6783,0.4263,0.425,0.611]","[0.0001,0.0001,0.0001,0.0001,0.4902,0.5986,0.5078,0.4951]"
4,"[0.0001,0.0001,0.0001,0.0001,0.61,0.2935,0.6295,0.3288]","[0.0001,0.0001,0.0001,0.0001,0.4990,0.3486,0.4824,0.4756]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4765,0.501,0.3585,0.434]","[0.0001,0.0001,0.0001,0.0001,0.5078,0.543,0.4932,0.502]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3692,0.6913,0.4815,0.4347]","[0.0001,0.0001,0.0001,0.0001,0.4766,0.6484,0.5166,0.501]"
4,"[0.0001,0.0001,0.0001,0.0001,1.,0.4945,0.5145,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.9648,0.6084,0.4883,0.0049]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5487,0.6105,0.4062,0.3343]","[0.0001,0.0001,0.0001,0.0001,0.4824,0.3457,0.5059,0.5166]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4873,0.815,1.,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.4736,0.8086,0.9941,0.0059]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5368,0.258,0.4972,0.328]","[0.0001,0.0001,0.0001,0.0001,0.5391,0.4639,0.501,0.46]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3075,0.5425,0.6478,0.4832]","[0.0001,0.0001,0.0001,0.0001,0.5059,0.5908,0.4756,0.5078]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5115,0.4538,0.5987,0.6855]","[0.0001,0.0001,0.0001,0.0001,0.5127,0.5049,0.501,0.5059]"
4,"[0.0001,0.0001,0.0001,0.0001,0.784,0.6037,0.5275,0.2105]","[0.0001,0.0001,0.0001,0.0001,0.5098,0.4951,0.5244,0.3535]"
4,"[0.0001,0.0001,0.0001,0.0001,0.278,0.45,0.6855,0.4453]","[0.0001,0.0001,0.0001,0.0001,0.5244,0.3613,0.5039,0.6309]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4162,0.53,0.5575,0.5387]","[0.0001,0.0001,0.0001,0.0001,0.4805,0.5518,0.5195,0.3496]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5023,0.683,0.3307,0.4712]","[0.0001,0.0001,0.0001,0.0001,0.5293,0.3604,0.4980,0.5107]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4967,0.5485,0.493,0.163]","[0.0001,0.0001,0.0001,0.0001,0.5176,0.3457,0.5215,0.1582]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0037,0.0001,0.4975,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.0410,0.0156,0.4795,0.0098]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4058,0.5063,0.3668,0.5558]","[0.0001,0.0001,0.0001,0.0001,0.501,0.3184,0.5078,0.5049]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4882,0.4215,0.4155,0.6722]","[0.0001,0.0001,0.0001,0.0001,0.4990,0.5127,0.4922,0.5195]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5732,0.4375,0.2765,0.601]","[0.0001,0.0001,0.0001,0.0001,0.4893,0.5068,0.4854,0.5879]"
4,"[0.0001,0.0001,0.0001,0.0001,0.472,0.436,0.4387,0.3377]","[0.0001,0.0001,0.0001,0.0001,0.5176,0.334,0.5234,0.5088]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5178,0.8005,0.201,0.092]","[0.0001,0.0001,0.0001,0.0001,0.5078,0.4971,0.5186,0.1016]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4518,0.313,0.378,0.6495]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.5039,0.4961,0.4766]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5515,0.7097,0.5102,0.3993]","[0.0001,0.0001,0.0001,0.0001,0.4844,0.3486,0.5186,0.5244]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5982,0.6725,0.6325,0.3913]","[0.0001,0.0001,0.0001,0.0001,0.4844,0.3496,0.4717,0.5088]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4577,0.4115,0.3935,0.6557]","[0.0001,0.0001,0.0001,0.0001,0.5127,0.5439,0.5146,0.5029]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5575,0.435,0.3677,0.4543]","[0.0001,0.0001,0.0001,0.0001,0.5049,0.4932,0.502,0.5078]"
4,"[0.0001,0.0001,0.0001,0.0001,0.013,0.5605,0.4787,0.3515]","[0.0001,0.0001,0.0001,0.0001,0.5244,0.4834,0.4951,0.167]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4672,0.5008,0.5928,0.4692]","[0.0001,0.0001,0.0001,0.0001,0.5381,0.3418,0.5127,0.4707]"
4,"[0.0001,0.0001,0.0001,0.0001,0.1573,0.4087,0.5533,0.792]","[0.0001,0.0001,0.0001,0.0001,0.4805,0.3516,0.5107,0.4395]"
4,"[0.0001,0.0001,0.0001,0.0001,0.592,0.371,0.52,0.504]","[0.0001,0.0001,0.0001,0.0001,0.5068,0.4844,0.4990,0.5117]"
4,"[0.0001,0.0001,0.0001,0.0001,0.9995,0.3635,1.,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.9658,0.3496,0.9951,0.0059]"
4,"[0.0001,0.0001,0.0001,0.0001,0.241,0.3565,0.55,0.8535]","[0.0001,0.0001,0.0001,0.0001,0.2988,0.3672,0.4775,0.8291]"
4,"[0.0001,0.0001,0.0001,0.0001,0.476,0.5713,0.5652,0.5558]","[0.0001,0.0001,0.0001,0.0001,0.5088,0.3486,0.501,0.5205]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4315,0.4995,0.4565,0.8127]","[0.0001,0.0001,0.0001,0.0001,0.4834,0.3633,0.5293,0.4961]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3893,0.507,0.4868,0.5203]","[0.0001,0.0001,0.0001,0.0001,0.4932,0.3486,0.4795,0.4219]"
4,"[0.0001,0.0001,0.0001,0.0001,0.08,1.,0.406,0.3798]","[0.0001,0.0001,0.0001,0.0001,0.1143,0.3662,0.5283,0.3857]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4972,0.5795,0.472,0.4895]","[0.0001,0.0001,0.0001,0.0001,0.4893,0.4766,0.5107,0.4961]"
4,"[0.0001,0.0001,0.0001,0.0001,0.1787,0.4893,0.5005,0.1255]","[0.0001,0.0001,0.0001,0.0001,0.4814,0.3799,0.5059,0.3633]"
4,"[0.0001,0.0001,0.0001,0.0001,0.744,0.7303,0.5405,0.497]","[0.0001,0.0001,0.0001,0.0001,0.5479,0.4688,0.5127,0.4922]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3207,0.562,0.4485,0.543]","[0.0001,0.0001,0.0001,0.0001,0.5225,0.3496,0.4766,0.5156]"
4,"[0.0001,0.0001,0.0001,0.0001,0.631,0.383,0.39,0.3915]","[0.0001,0.0001,0.0001,0.0001,0.5156,0.3018,0.4805,0.5029]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2817,0.2725,0.5397,0.3995]","[0.0001,0.0001,0.0001,0.0001,0.4854,0.4863,0.4775,0.5312]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6332,0.2665,0.6837,0.352]","[0.0001,0.0001,0.0001,0.0001,0.4766,0.3135,0.4951,0.4727]"
4,"[0.0001,0.0001,0.0001,0.0001,0.437,0.5335,0.4333,0.4827]","[0.0001,0.0001,0.0001,0.0001,0.4990,0.3457,0.4990,0.5586]"
4,"[0.0001,0.0001,0.0001,0.0001,0.488,0.6665,0.5567,0.5307]","[0.0001,0.0001,0.0001,0.0001,0.4902,0.5068,0.4854,0.6611]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5725,0.398,0.3345,0.5565]","[0.0001,0.0001,0.0001,0.0001,0.4932,0.4912,0.4746,0.4941]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4642,0.3675,0.5962,0.4]","[0.0001,0.0001,0.0001,0.0001,0.5059,0.3535,0.5068,0.4941]"
4,"[0.0001,0.0001,0.0001,0.0001,0.515,0.5272,0.4293,0.6965]","[0.0001,0.0001,0.0001,0.0001,0.5049,0.3447,0.5068,0.4980]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4893,0.467,0.6255,0.4205]","[0.0001,0.0001,0.0001,0.0001,0.5264,0.3320,0.4941,0.4893]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3065,0.2212,0.5437,0.5577]","[0.0001,0.0001,0.0001,0.0001,0.4844,0.3604,0.5342,0.4893]"
4,"[0.0001,0.0001,0.0001,0.0001,0.6802,0.5907,0.3593,0.5825]","[0.0001,0.0001,0.0001,0.0001,0.4814,0.5166,0.5078,0.6074]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5107,0.4327,0.3647,0.5207]","[0.0001,0.0001,0.0001,0.0001,0.459,0.4922,0.4990,0.4414]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5128,0.7135,0.605,0.5615]","[0.0001,0.0001,0.0001,0.0001,0.5410,0.3418,0.4980,0.5029]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7138,0.5505,0.6752,0.6687]","[0.0001,0.0001,0.0001,0.0001,0.4912,0.3096,0.501,0.5068]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4967,0.5102,0.2395,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.5488,0.4443,0.5137,0.0078]"
4,"[0.0001,0.0001,0.0001,0.0001,0.22,0.1947,0.4042,0.5443]","[0.0001,0.0001,0.0001,0.0001,0.4912,0.3545,0.4854,0.4922]"
4,"[0.0001,0.0001,0.0001,0.0001,1.,0.4142,0.9865,0.592]","[0.0001,0.0001,0.0001,0.0001,0.4980,0.3730,0.7217,0.502]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5713,0.6733,0.3228,0.5397]","[0.0001,0.0001,0.0001,0.0001,0.5215,0.3398,0.501,0.4707]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.088,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.5498,0.0137,0.0918,0.3428]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5617,0.3137,0.7657,0.8605]","[0.0001,0.0001,0.0001,0.0001,0.5146,0.3379,0.4951,0.8301]"
4,"[0.0001,0.0001,0.0001,0.0001,0.497,0.2177,0.3812,0.35]","[0.0001,0.0001,0.0001,0.0001,0.4873,0.4326,0.5098,0.4033]"
4,"[0.0001,0.0001,0.0001,0.0001,0.495,0.4345,0.565,0.318]","[0.0001,0.0001,0.0001,0.0001,0.5098,0.3545,0.4980,0.4570]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4663,0.5073,0.6877,0.4843]","[0.0001,0.0001,0.0001,0.0001,0.4609,0.5752,0.501,0.501]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4552,0.663,0.4935,0.541]","[0.0001,0.0001,0.0001,0.0001,0.5098,0.4062,0.4961,0.4971]"
4,"[0.0001,0.0001,0.0001,0.0001,0.683,0.4137,0.3745,0.5832]","[0.0001,0.0001,0.0001,0.0001,0.5176,0.5322,0.5371,0.4951]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4155,0.3733,0.5497,0.3932]","[0.0001,0.0001,0.0001,0.0001,0.5156,0.3428,0.5107,0.4795]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5085,0.0001,0.981,0.494]","[0.0001,0.0001,0.0001,0.0001,0.4951,0.335,0.9795,0.5078]"
4,"[0.0001,0.0001,0.0001,0.0001,0.497,0.4638,0.5987,0.347]","[0.0001,0.0001,0.0001,0.0001,0.4824,0.3408,0.5,0.5029]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.4187,0.3268,1.]","[0.0001,0.0001,0.0001,0.0001,0.0469,0.6660,0.4990,0.9932]"
4,"[0.0001,0.0001,0.0001,0.0001,0.715,0.0001,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.6826,0.3252,0.5166,0.0869]"
6,"[0.0001,0.0001,0.5525,0.5625,0.431,0.4762,0.4952,0.5905]","[0.0001,0.0001,0.5176,0.501,0.4824,0.5107,0.5068,0.5117]"
6,"[0.0001,0.0001,0.4358,0.4638,0.5965,0.5548,0.4387,0.4685]","[0.0001,0.0001,0.5,0.502,0.4844,0.375,0.4961,0.5078]"
6,"[0.0001,0.0001,0.4633,0.3505,0.5203,0.496,0.4778,0.5483]","[0.0001,0.0001,0.501,0.3711,0.4844,0.5039,0.5176,0.5156]"
6,"[0.0001,0.0001,0.497,0.0001,0.811,1.,0.9865,1.]","[0.0001,0.0001,0.5059,0.0215,0.4922,0.9844,0.9736,0.3145]"
6,"[0.0001,0.0001,0.4198,0.2383,0.612,0.3537,0.5045,0.426]","[0.0001,0.0001,0.4883,0.3486,0.5244,0.4727,0.4902,0.5098]"
6,"[0.0001,0.0001,0.5,0.5552,0.534,0.4485,0.4963,0.5337]","[0.0001,0.0001,0.5127,0.5537,0.4785,0.3564,0.5195,0.5029]"
6,"[0.0001,0.0001,0.6398,0.7393,0.5723,0.3857,0.5387,0.565]","[0.0001,0.0001,0.4912,0.5303,0.5166,0.5,0.4990,0.4980]"
6,"[0.0001,0.0001,0.456,0.4385,0.5115,0.595,0.5748,0.5735]","[0.0001,0.0001,0.5107,0.4854,0.4814,0.376,0.4736,0.4883]"
6,"[0.0001,0.0001,0.3185,0.2522,0.721,0.108,0.6475,0.9965]","[0.0001,0.0001,0.3203,0.292,0.7412,0.1211,0.6436,0.9805]"
6,"[0.0001,0.0001,0.5288,0.4195,0.5167,0.4848,0.5153,0.5505]","[0.0001,0.0001,0.4951,0.5156,0.5439,0.5195,0.4922,0.4854]"
6,"[0.0001,0.0001,0.4397,0.5048,0.4182,0.344,0.5713,0.588]","[0.0001,0.0001,0.4424,0.5068,0.4971,0.3301,0.4893,0.5078]"
6,"[0.0001,0.0001,0.5502,0.438,0.4697,0.4448,0.533,0.5587]","[0.0001,0.0001,0.5137,0.4873,0.5049,0.3408,0.5049,0.5068]"
6,"[0.0001,0.0001,0.5197,0.029,0.2688,0.5957,0.0503,0.8163]","[0.0001,0.0001,0.5352,0.0566,0.2891,0.5459,0.0791,0.8105]"
6,"[0.0001,0.0001,0.613,0.483,0.3232,0.6012,0.5365,0.484]","[0.0001,0.0001,0.5078,0.501,0.4912,0.459,0.5244,0.5068]"
6,"[0.0001,0.0001,0.5623,0.513,0.5355,0.4683,0.462,0.4652]","[0.0001,0.0001,0.4990,0.4824,0.4971,0.375,0.5459,0.5059]"
6,"[0.0001,0.0001,0.6043,0.465,0.4633,0.4665,0.5832,0.4568]","[0.0001,0.0001,0.502,0.4951,0.4971,0.5039,0.4951,0.4834]"
6,"[0.0001,0.0001,0.0518,0.5742,0.5073,0.2855,0.4412,0.6547]","[0.0001,0.0001,0.2588,0.5635,0.5205,0.2900,0.4541,0.6484]"
6,"[0.0001,0.0001,0.4473,0.5755,0.483,0.4485,0.532,0.3792]","[0.0001,0.0001,0.501,0.5322,0.4482,0.4238,0.5107,0.5254]"
6,"[0.0001,0.0001,0.5583,0.551,0.5098,0.4308,0.5102,0.4272]","[0.0001,0.0001,0.4941,0.4941,0.4814,0.5146,0.5098,0.5107]"
6,"[0.0001,0.0001,0.6267,0.5285,0.7228,0.733,0.7653,0.4545]","[0.0001,0.0001,0.6143,0.5205,0.4873,0.4834,0.7354,0.4443]"
6,"[0.0001,0.0001,0.5125,0.5217,0.518,0.6267,0.4888,0.4765]","[0.0001,0.0001,0.4990,0.4795,0.4883,0.4062,0.5244,0.46]"
6,"[0.0001,0.0001,0.502,0.444,0.5128,0.5487,0.2135,0.5255]","[0.0001,0.0001,0.5205,0.4717,0.5479,0.4805,0.4053,0.5322]"
6,"[0.0001,0.0001,0.619,0.4852,0.4067,0.4498,0.5955,0.4972]","[0.0001,0.0001,0.502,0.4980,0.4580,0.5186,0.4951,0.4814]"
